Base do Autoencoder,Base de Treino,Base de Teste,M̩dia,Batch
Kyoto,PUC,PUC,0.886 ~ 0.029,64
Kyoto,PUC,PUC,0.926 ~ 0.018,128
Kyoto,PUC,PUC,0.922 ~ 0.026,256
Kyoto,PUC,PUC,0.936 ~ 0.018,512
Kyoto,PUC,PUC,0.949 ~ 0.015,1024
Kyoto,PUC,UFPR04,0.727 ~ 0.062,64
Kyoto,PUC,UFPR04,0.796 ~ 0.037,128
Kyoto,PUC,UFPR04,0.808 ~ 0.036,256
Kyoto,PUC,UFPR04,0.801 ~ 0.054,512
Kyoto,PUC,UFPR04,0.821 ~ 0.038,1024
Kyoto,PUC,UFPR05,0.663 ~ 0.031,64
Kyoto,PUC,UFPR05,0.724 ~ 0.044,128
Kyoto,PUC,UFPR05,0.735 ~ 0.044,256
Kyoto,PUC,UFPR05,0.749 ~ 0.056,512
Kyoto,PUC,UFPR05,0.764 ~ 0.043,1024
Kyoto,UFPR04,UFPR04,0.839 ~ 0.034,64
Kyoto,UFPR04,UFPR04,0.878 ~ 0.035,128
Kyoto,UFPR04,UFPR04,0.843 ~ 0.052,256
Kyoto,UFPR04,UFPR04,0.878 ~ 0.035,512
Kyoto,UFPR04,UFPR04,0.895 ~ 0.035,1024
Kyoto,UFPR04,PUC,0.707 ~ 0.070,64
Kyoto,UFPR04,PUC,0.774 ~ 0.081,128
Kyoto,UFPR04,PUC,0.779 ~ 0.086,256
Kyoto,UFPR04,PUC,0.813 ~ 0.099,512
Kyoto,UFPR04,PUC,0.828 ~ 0.090,1024
Kyoto,UFPR04,UFPR05,0.629 ~ 0.044,64
Kyoto,UFPR04,UFPR05,0.701 ~ 0.090,128
Kyoto,UFPR04,UFPR05,0.670 ~ 0.098,256
Kyoto,UFPR04,UFPR05,0.720 ~ 0.089,512
Kyoto,UFPR04,UFPR05,0.754 ~ 0.077,1024
Kyoto,UFPR05,UFPR05,0.882 ~ 0.031,64
Kyoto,UFPR05,UFPR05,0.937 ~ 0.018,128
Kyoto,UFPR05,UFPR05,0.926 ~ 0.024,256
Kyoto,UFPR05,UFPR05,0.948 ~ 0.014,512
Kyoto,UFPR05,UFPR05,0.948 ~ 0.023,1024
Kyoto,UFPR05,PUC,0.620 ~ 0.032,64
Kyoto,UFPR05,PUC,0.685 ~ 0.032,128
Kyoto,UFPR05,PUC,0.699 ~ 0.041,256
Kyoto,UFPR05,PUC,0.715 ~ 0.043,512
Kyoto,UFPR05,PUC,0.738 ~ 0.037,1024
Kyoto,UFPR05,UFPR04,0.671 ~ 0.045,64
Kyoto,UFPR05,UFPR04,0.721 ~ 0.043,128
Kyoto,UFPR05,UFPR04,0.698 ~ 0.041,256
Kyoto,UFPR05,UFPR04,0.707 ~ 0.074,512
Kyoto,UFPR05,UFPR04,0.728 ~ 0.040,1024
