Base de Treino,Base de Teste,M̩dia,Batch
PUC,PUC,0.872 ~ 0.070,64
PUC,PUC,0.936 ~ 0.047,128
PUC,PUC,0.960 ~ 0.041,256
PUC,PUC,0.972 ~ 0.023,512
PUC,PUC,0.977 ~ 0.017,1024
PUC,PUC,0.873 ~ 0.034,64
PUC,PUC,0.906 ~ 0.037,128
PUC,PUC,0.911 ~ 0.027,256
PUC,PUC,0.908 ~ 0.022,512
PUC,PUC,0.906 ~ 0.018,1024
PUC,UFPR04,0.718 ~ 0.112,64
PUC,UFPR04,0.798 ~ 0.069,128
PUC,UFPR04,0.858 ~ 0.032,256
PUC,UFPR04,0.854 ~ 0.023,512
PUC,UFPR04,0.862 ~ 0.038,1024
PUC,UFPR05,0.714 ~ 0.054,64
PUC,UFPR05,0.789 ~ 0.046,128
PUC,UFPR05,0.807 ~ 0.043,256
PUC,UFPR05,0.784 ~ 0.049,512
PUC,UFPR05,0.767 ~ 0.040,1024
PUC,camera1,0.845 ~ 0.035,64
PUC,camera1,0.862 ~ 0.055,128
PUC,camera1,0.890 ~ 0.027,256
PUC,camera1,0.897 ~ 0.021,512
PUC,camera1,0.897 ~ 0.020,1024
PUC,camera2,0.844 ~ 0.046,64
PUC,camera2,0.883 ~ 0.061,128
PUC,camera2,0.899 ~ 0.029,256
PUC,camera2,0.903 ~ 0.020,512
PUC,camera2,0.895 ~ 0.022,1024
PUC,camera3,0.845 ~ 0.034,64
PUC,camera3,0.880 ~ 0.037,128
PUC,camera3,0.880 ~ 0.041,256
PUC,camera3,0.872 ~ 0.035,512
PUC,camera3,0.872 ~ 0.030,1024
PUC,camera4,0.875 ~ 0.050,64
PUC,camera4,0.909 ~ 0.057,128
PUC,camera4,0.924 ~ 0.030,256
PUC,camera4,0.930 ~ 0.016,512
PUC,camera4,0.924 ~ 0.016,1024
PUC,camera5,0.877 ~ 0.050,64
PUC,camera5,0.899 ~ 0.057,128
PUC,camera5,0.919 ~ 0.025,256
PUC,camera5,0.924 ~ 0.014,512
PUC,camera5,0.919 ~ 0.012,1024
PUC,camera6,0.883 ~ 0.038,64
PUC,camera6,0.909 ~ 0.040,128
PUC,camera6,0.918 ~ 0.026,256
PUC,camera6,0.914 ~ 0.021,512
PUC,camera6,0.910 ~ 0.022,1024
PUC,camera7,0.841 ~ 0.034,64
PUC,camera7,0.858 ~ 0.042,128
PUC,camera7,0.880 ~ 0.016,256
PUC,camera7,0.885 ~ 0.020,512
PUC,camera7,0.885 ~ 0.016,1024
PUC,camera8,0.873 ~ 0.034,64
PUC,camera8,0.906 ~ 0.037,128
PUC,camera8,0.911 ~ 0.027,256
PUC,camera8,0.908 ~ 0.022,512
PUC,camera8,0.906 ~ 0.018,1024
PUC,camera9,0.832 ~ 0.038,64
PUC,camera9,0.859 ~ 0.044,128
PUC,camera9,0.882 ~ 0.026,256
PUC,camera9,0.883 ~ 0.020,512
PUC,camera9,0.879 ~ 0.023,1024
